SAN CARLOS NORTE,1324,3009,82
SAN GENARO,1503,2146,82
SAN GERONIMO,2217,2136,82
SAN FRANCISCO DE SANTA FE,1931,2601,82
SAN FABIAN,1502,2242,82
SAN EUGENIO,15702,2253,82
SAN ESTANISLAO,1462,2501,82
SAN EDUARDO,1930,2615,82
SAN CRISTOBAL,1408,3070,82
SAN CARLOS SUD,1325,3013,82
SAN GENARO NORTE,1504,2147,82
SAN CARLOS CENTRO,1323,3013,82
RUNCIMAN,1928,2611,82
SAN BERNARDO,17209,3061,82
SAN BERNARDO,2177,3048,82
SAN ANTONIO DE OBLIGADO,2043,3587,82
SAN ALBERTO,2042,3565,82
SAN AGUSTIN,1322,3017,82
SALTO GRANDE,1461,2142,82
SALADERO M CABAL,1434,3001,82
SAGUIER,1268,2301,82
SA PEREYRA,1321,3011,82
RUINAS SANTA FE LA VIEJA,1433,3001,82
RUFINO,1927,6100,82
RUEDA,1357,2921,82
SAN GREGORIO,1932,2613,82
SAN CARLOS,1929,6106,82
SAN GUILLERMO,1409,2347,82
SAN PEDRO SUR,1559,3014,82
SAN GUILLERMO,1554,3020,82
SAN VICENTE,1270,2447,82
SAN URBANO,1935,2728,82
SAN SEBASTIAN,2100,2121,82
SAN ROQUE,2044,3553,82
SAN RICARDO,1464,2501,82
ROSARIO,20949,2000,82
SAN PEDRO NORTE,1558,3021,82
SAN PEDRO,1557,3021,82
SAN MIGUEL,1269,2309,82
SAN MARTIN NORTE,2180,3045,82
SAN MARTIN DE TOURS,2139,2255,82
SAN MARTIN DE LAS ESCOBAS,2254,2449,82
SAN MARIANO,1328,3011,82
SAN MARCOS DE VENADO TUERTO,1934,2600,82
SAN MARCELO,1933,6009,82
SAN LORENZO,2219,2200,82
SAN JUSTO,2179,3040,82
SAN JOSE FRONTERA,2253,2401,82
SAN JOSE DEL RINCON,1556,3001,82
SAN JOSE DE LA ESQUINA,1197,2185,82
SAN JOSE,27663,3016,82
SAN JORGE,2252,2451,82
SAN JOAQUIN,1435,3001,82
SAN JERONIMO SUD,2218,2136,82
SAN JERONIMO NORTE,1327,3011,82
SAN JERONIMO DEL SAUCE,1326,3009,82
SAN JAVIER,2135,3005,82
SAN GUILLERMO,1163,2512,82
ROMANG,2134,3555,82
PUJATO NORTE,1318,3080,82
RODOLFO ALCORTA,1356,2115,82
PUERTO ARAGON,1499,2246,82
PUENTE COLASTINE,1498,2242,82
PUEBLO TERRAGNI,17481,2300,82
PUEBLO SAN ANTONIO,1263,2301,82
PUEBLO NUEVO,1144,2124,82
PUEBLO MUÑOZ,2091,2119,82
PUEBLO MARIA JUANA,1260,2445,82
PUEBLO KIRSTON,2211,2202,82
PUEBLO GOLONDRINA,18431,3551,82
PUEBLO ESTHER,2090,2126,82
PUEBLO CANDIOTI,1547,3000,82
PUEBLO AREQUITO,1196,2183,82
PUERTO DE SAN LORENZO,2212,2200,82
PUEBLO ABC,1317,3080,82
PROGRESO,1315,3023,82
PRESIDENTE ROCA,1259,2301,82
POZO DE LOS INDIOS,2299,3551,82
POTRERO GUASUNCHO,2035,3589,82
PORTUGALETE,1405,3071,82
PORTALIS,1142,3066,82
POMPEYA,1546,3014,82
PLAZA CLUCELLAS,1217,2407,82
PIQUETE,1545,3000,82
PINO DE SAN LORENZO,2210,2200,82
PIÑERO,27664,2119,82
SAN VICENTE,2045,3580,82
PROVIDENCIA,1316,3025,82
PUERTO GABOTO,1500,2208,82
PUERTO GRAL SAN MARTIN,2213,2202,82
PUERTO OCAMPO,2036,3580,82
RIVADAVIA,1320,3081,82
RIO SALADO,1553,3036,82
RINCON POTREROS,1551,3001,82
RINCON NORTE,1550,3001,82
RINCON DEL QUEBRACHO,1407,3025,82
RINCON DEL PINTADO,1319,3080,82
RINCON DE TACURALES,1267,2317,82
RINCON DE SAN ANTONIO,1406,3046,82
RINCON DE GRONDONA,1460,2206,82
RINCON DE AVILA,1552,3023,82
RIGBY,1501,2255,82
RICARDONE,2215,2201,82
REYNALDO CULLEN,1549,3020,82
REINA MARGARITA,1266,2309,82
RECREO SUR,1432,3001,82
RECREO,1548,3018,82
RECONQUISTA,2040,3560,82
RASTREADOR FOURNIER,1926,2605,82
RAQUEL,1265,2322,82
RAMONA,1262,2301,82
RAMAYON,2178,3042,82
RAFAELA,1264,2300,82
RABIOLA,18354,2600,82
PUJATO,2214,2123,82
PUERTO RECONQUISTA,2039,3567,82
PUERTO PIRACUACITO,2038,3592,82
PUERTO PIRACUA,2037,3516,82
ROLDAN,2216,2134,82
POZO BORRADO,1143,3061,82
VILLA SARALEGUI,1413,3046,82
SANFORD,1198,2173,82
VILLA LA RIBERA,18167,2500,82
VILLA GUILLERMINA,2051,3589,82
VILLA GUASTALLA,1506,2148,82
VILLA GOBERNADOR GALVEZ,2107,2124,82
VILLA GARIBALDI,2225,2156,82
VILLA FREDRICKSON,1945,2630,82
VILLA ESTELA,18355,2726,82
VILLA ELOISA,1467,2503,82
VILLA DON BOSCO,1867,3000,82
VILLA DIVISA DE MAYO,1944,2631,82
VILLA CONSTITUCION,1363,2919,82
VILLA CASSINI,2224,2154,82
VILLA LASTENIA,2186,3042,82
VILLA CAÑAS,1943,2607,82
VILLA ANA,2050,3583,82
VILLA AMERICA,2106,2121,82
VILLA AMELIA,2105,2101,82
VILLA ADELA,2049,3581,82
VILA,1275,2301,82
VIDELA,2185,3048,82
VICTOR MANUEL SEGUNDO,2048,3563,82
VICENTE ECHEVARRIA,2223,2142,82
VERA Y PINTADO,2184,3054,82
VERA MUJICA,2183,3040,82
VERA,2305,3550,82
VENADO TUERTO,1942,2600,82
VILLA BIOTA,1505,2147,82
VILLA LUJAN,1868,3016,82
VILLA LYLY TALLERES,2108,2121,82
VILLA MARGARITA,2226,2156,82
ZENON PEREYRA,1280,2409,82
ZAVALLA,2111,2123,82
ZANETTI,1279,2301,82
ZAMPONI,2110,2105,82
ZADOCKHAN,1416,2326,82
YAMANDU,1872,3014,82
YAGUARETE,2053,3586,82
WILDERMUTH,2258,2257,82
WHEELWRIGHT,1948,2722,82
WALVELBERG,1415,2313,82
VUELTA DEL PIRATA,1437,3001,82
VIRGINIA,1278,2311,82
VILLANI,1277,2400,82
VILLADA,1200,2173,82
VILLA YAPEYU,1871,3000,82
VILLA VIVEROS,1870,3001,82
VILLA TRINIDAD,1414,2345,82
PILAR,1314,3085,82
VILLA SAN JOSE,1276,2301,82
VILLA SAN DIEGO,2109,2124,82
VILLA ROSELLO,1947,6100,82
VILLA REGULES,1946,2630,82
VILLA PORUCCI,2228,2123,82
VILLA OCAMPO,2052,3580,82
VILLA MUGUETA,2227,2175,82
VILLA MINETTI,1148,3061,82
VILLA MARIA SELVA,1869,3000,82
VELAZQUEZ,2304,3550,82
VEINTICUATRO CASAS,1412,2313,82
URANGA,2103,2105,82
TTE HIPOLITO BOUCHARD,2222,2156,82
SEMINO,2220,2138,82
SCHIFFNER,18407,2451,82
SAUCE VIEJO,1865,3017,82
SASTRE,2255,2440,82
SARMIENTO,1332,3023,82
SARGENTO CABRAL,1359,2105,82
SANTURCE,1410,3074,82
SANTO TOME,1864,3016,82
SANTO DOMINGO,1331,3025,82
SANTA TERESA,18350,6106,82
SANTA TERESA,1358,2111,82
SANTA ROSA DE CALCHINES,1436,3001,82
SANTA PAULA,1939,6106,82
SANTA NATALIA,1199,2639,82
SANTA MARIA NORTE,27831,3011,82
SANTA MARIA CENTRO,1330,3011,82
SANTA MARGARITA,1145,3061,82
SANTA LUCIA,2301,3553,82
SANTA ISABEL,1938,2605,82
SANTA FELICIA,2300,3551,82
SANTA FE,16391,3000,82
SANTA EUSEBIA,1242,2317,82
SANTA EMILIA,1937,2725,82
SANTA CLARA DE SAGUIER,1271,2405,82
SANTA CLARA DE BUENA VISTA,1329,2258,82
SANTA CLARA,1874,2258,82
SANTA ANA,2046,3575,82
SERODINO,1465,2216,82
SANCTI SPIRITU,1936,2617,82
SETUBAL,1866,3014,82
SIN PEREZA,17217,3060,82
TRES POZOS,1147,3061,82
TRES ESQUINAS,1362,2921,82
TRES COLONIAS,17497,2300,82
TRES BOCAS,18372,3560,82
TRAILL,2257,2456,82
TOTORAS,1466,2144,82
TOSTADO,1146,3060,82
TORTUGAS,1164,2512,82
TOMAS ALVA EDISON,1333,3023,82
TOBA,2303,3551,82
TIMBUES,2221,2204,82
THEOBALD,1361,2918,82
TEODELINA,1941,6009,82
TARTAGAL,2302,3565,82
TARRAGONA,1940,6103,82
TALLERES,2102,2121,82
TAIS,2256,2535,82
TACURAL,1274,2324,82
TACUARENDI,2047,3587,82
SUSANA,1273,2301,82
SUNCHALES,1272,2322,82
SUARDI,1411,2349,82
STEPHENSON,1360,2103,82
SOUTOMAYOR,2182,3025,82
SOLEDAD,2181,3025,82
SOLDINI,2101,2107,82
SOL DE MAYO,2153,3048,82
SIERRA PEREYRA,17491,2300,82
PIAMONTE,2251,2529,82
LAS GARZAS,2019,3574,82
PETRONILA,1404,3046,82
EL AMARGO,1116,3060,82
EL ALBERDON,1893,6106,82
EL AGUARA,1385,3070,82
EL 44,18421,3550,82
EL 38,18419,3550,82
EGUSQUIZA,1236,2301,82
DURHAM,1892,2631,82
DOCE CASAS,1384,2313,82
DISTRITO 3 ISLETAS,1972,3575,82
DIEGO DE ALVEAR,1891,6036,82
DIAZ,1488,2222,82
EL ARAZA,1973,3563,82
DHO,2113,3070,82
DESVIO KILOMETRO 282,2267,3551,82
DESVIO BOERO,1235,2415,82
DESVIO ARIJON,1487,2242,82
DEST AERONAUTICO MILIT RECONQU,2041,3567,82
CURUPAYTI,1383,2342,82
CULULU,1290,3023,82
CULLEN,2197,2202,82
CUATRO ESQUINAS,1189,2639,82
CUATRO CASAS,1382,2313,82
CRISTOLIA,1234,2445,82
CRISPI,2241,2441,82
DESVIO KILOMETRO 392,1971,3551,82
EL BAGUAL,1339,2723,82
EL BAYO,17426,2300,82
EL BONETE,18425,3550,82
EL TREBOL,2242,2535,82
EL TRANSITO,2198,2202,82
EL TIMBO,1980,3561,82
EL TAPIALITO,1979,3575,82
EL TAJAMAR,2269,3565,82
EL SOMBRERERO,18388,3046,82
EL RICARDITO,1977,3572,82
EL REFUGIO,1896,6103,82
EL RABON,1976,3592,82
EL POZO,1425,3001,82
EL PARA,18379,3005,82
EL PAJARO BLANCO,2126,3051,82
EL NOCHERO,1118,3061,82
EL MARIANO,1117,3060,82
EL LAUREL,1424,3001,82
EL JARDIN,1895,2732,82
EL GUSANO,18378,3005,82
EL GALPON,1526,3021,82
EL DIECISIETE,2268,3553,82
EL CINCUENTA,18423,3550,82
EL CEIBO,18376,3005,82
EL CEIBALITO,1975,3575,82
EL CARMEN DE AVELLANEDA,1974,3561,82
EL CARAMELO,2070,2105,82
EL CANTOR,1894,2643,82
CRESTA,2069,2126,82
EL TRIANGULO,17119,3060,82
COSTA DEL TOBA,27855,3553,82
CORONEL ROSETI,1886,6106,82
COLONIA SAN FRANCISCO,2239,2527,82
COLONIA SAN ANTONIO,1230,2301,82
COLONIA SAGER,2124,3553,82
COLONIA ROSA,1381,2347,82
COLONIA RIPAMONTI,1380,2349,82
COLONIA REINA MARGARITA,1229,2309,82
COLONIA PUJOL,1288,3080,82
COLONIA PIAMONTESA,1184,2639,82
COLONIA ORTIZ,1379,2313,82
COLONIA NUEVA NARCISO,1422,3001,82
COLONIA MORGAN,1887,2609,82
COLONIA SAN JOAQUIN,1423,3001,82
COLONIA MONTEFIORE,1115,2341,82
COLONIA MAUA,1228,2311,82
COLONIA MATILDE,1287,3013,82
COLONIA MASCIAS,2123,3001,82
COLONIA MARGARITA,1227,2443,82
COLONIA MANUEL MENCHACA,2151,3046,82
COLONIA MALHMAN SUD,1378,2347,82
COLONIA MACKINLAY,1377,2347,82
COLONIA LOS ZAPALLOS,17965,3003,82
COLONIA LAGO DI COMO,1183,2187,82
COLONIA LA YERBA,2238,2451,82
COLONIA LA PENCA,2150,3045,82
COLONIA MEDICI,1449,2144,82
COLONIA SAN MANUEL,1968,3563,82
COLONIA SAN ROQUE,18375,3005,82
COLONIA SANTA ANITA,2240,2451,82
CORONEL RODRIGUEZ,1289,3013,82
CORONEL FRAGA,1233,2301,82
CORONEL DOMINGUEZ,2068,2105,82
CORONEL BOGADO,2067,2103,82
CORONEL ARNOLD,2196,2123,82
CORONEL AGUIRRE,2066,2124,82
CORONDA,1486,2240,82
CORA,1889,2631,82
COPACABANA,17667,2919,82
CONSTITUYENTES,1525,3014,82
CONSTANZA,1232,2311,82
COLONIA YAGUARETE,18360,3560,82
COLONIA VALENCIA,1188,2639,82
COLONIA VALDEZ,1338,2115,82
COLONIA URDANIZ,1962,3516,82
COLONIA TRES REYES,2154,3048,82
COLONIA TRES MARIAS,1450,2216,82
COLONIA TOSCANA SEGUNDA,1187,2185,82
COLONIA TOSCANA PRIMERA,1186,2185,82
COLONIA TERESA,2125,3005,82
COLONIA TACURALES,1231,2324,82
COLONIA SILVA,2152,3042,82
COLONIA SANTA NATALIA,1185,2639,82
COLONIA SANTA LUCIA,1888,2609,82
COLONIA SANTA CATALINA,1969,3572,82
CORREA,1451,2506,82
COLONIA LA NUEVA,1286,3081,82
EL TROPEZON,1292,3009,82
ELORTONDO,1897,2732,82
GRUTLY NORTE,1300,3083,82
GRUTLY,1299,3083,82
GREGORIA PEREZ DE DENIS,1128,3061,82
GRANJA SAN MANUEL,1452,2501,82
GRANADEROS,2202,2156,82
GRANADERO BASILIO BUSTOS,2244,2257,82
GRANADERO BAIGORRIA,2078,2152,82
GRANADERO B BARGAS,2077,2132,82
GOLONDRINA,1986,3551,82
GODOY,1344,2921,82
GODEKEN,1190,2639,82
GUADALUPE NORTE,1987,3574,82
GOBERNADOR CRESPO,2158,3044,82
GENERAL LAGOS,2076,2126,82
GENERAL GELLY,1343,2701,82
GATO COLORADO,1127,3541,82
GARIBALDI,1246,2443,82
GARABATO,2276,3551,82
GALVEZ,2137,2252,82
GALISTEO,1245,2307,82
GABOTO,1489,2208,82
FUNES,2075,2132,82
FUENTES,2201,2123,82
FRONTERA,1244,2438,82
GESSLER,1490,2253,82
GUARANIES,2159,3054,82
GUASUNCHO,1988,3581,82
GUAYCURU,2277,3551,82
JACINTO L ARAUZ,1291,3029,82
ITUZAINGO,1304,2311,82
ITURRASPE,1158,2521,82
ISLETA,1993,3581,82
ISLA TIGRE,1992,3583,82
ISLA DEL PORTEÑO,1529,3001,82
IRIONDO,1528,3018,82
IRIGOYEN,1491,2248,82
INTIYACO,2278,3551,82
INGENIERO GERMANIA,1991,3586,82
INGENIERO GARMENDIA,1990,3586,82
INGENIERO CHANOURDIE,1989,3575,82
INGENIERO BOASI,1873,3023,82
INDEPENDENCIA,1129,3060,82
IBARLUCEA,2079,2142,82
HUMBOLDT CHICO,1303,3081,82
HUMBOLDT,1302,3081,82
HUMBERTO PRIMERO,1247,2309,82
HUGHES,1901,2725,82
HUGENTOBLER,1388,2344,82
HUGENTOBLER,17450,2317,82
HUANQUEROS,1387,3076,82
HIPATIA,1301,3023,82
HERSILIA,1386,2352,82
HELVECIA,1426,3003,82
FRAY LUIS BELTRAN,2200,2156,82
ELISA,1293,3029,82
FRANCK,1298,3009,82
FORTIN TOSTADO,1126,3060,82
ESTANCIA LOS PALMARES,2272,3057,82
ESTANCIA LAS GAMAS,2271,3057,82
ESTANCIA LA MARIA,2072,2105,82
ESTANCIA LA CONSTANCIA,18391,3040,82
ESTANCIA LA CIGUEÑA,1119,3060,82
ESTANCIA ACHALA,17109,3060,82
ESTACION VILLA CONSTITUCION,1341,2919,82
ESTACION TEODELINA,18346,2600,82
ESTACION SAGUIER,1240,2315,82
ESTACION MATILDE,1296,3013,82
ESTACION MARIA JUANA,17434,2445,82
ESTANCIA PAVENHAN,2273,3057,82
ESTACION JOSEFINA,1239,2403,82
ESTACION CLUCELLAS,1238,2407,82
ESTACION CHRISTOPHERSEN,1899,2611,82
ESQUINA GRANDE,2155,3040,82
ESPIN,2270,3056,82
ESPERANZA,1295,3080,82
ESMERALDITA,2243,2401,82
ESMERALDA,1237,2456,82
ENCADENADAS,1898,2607,82
EMPALME VILLA CONSTITUCION,1340,2918,82
EMPALME SAN CARLOS,1294,3007,82
EMILIA,1527,3036,82
ESTACION ERASTO,2071,2119,82
ESTANCIA PRUSIA,18393,3040,82
ESTANCIA SAN ANTONIO,2073,2107,82
ESTANCIA SAN FRANCISCO,17851,2344,82
FORTIN TACURU,17132,3060,82
FORTIN SEIS DE CABALLERIA,1125,3061,82
FORTIN OLMOS,2275,3553,82
FORTIN CHILCAS,2274,3553,82
FORTIN CHARRUA,1985,3060,82
FORTIN CACIQUE,1124,3060,82
FORTIN ATAHUALPA,1123,3061,82
FORTIN ARGENTINA,1122,3060,82
FORTIN ALMAGRO,1507,3046,82
FORTIN ALERTA,1121,3066,82
FLORIDA,1984,3565,82
FLORENCIA,1983,3516,82
FLOR DE ORO,1982,3575,82
FIVES LILLE,2157,3054,82
FIRMAT,1900,2630,82
FIGHIERA,2074,2126,82
